Cancabchén," 23,905 "
1.5. Forest – Subtropical/tropical dry," 18,970 "
14.1 Arable Land," 1,184 "
14.3 Plantations, 12 
2.1. Savanna - Dry," 3,740 "
Chanchén," 14,325 "
1.5. Forest – Subtropical/tropical dry," 9,627 "
14.1 Arable Land, 423 
2.1. Savanna - Dry," 4,079 "
5. Wetlands (inland), 196 
Chun Ek," 15,532 "
1.5. Forest – Subtropical/tropical dry," 13,994 "
14.1 Arable Land, 40 
2.1. Savanna - Dry," 1,296 "
5. Wetlands (inland), 202 
Felipe Ángeles," 5,925 "
1.5. Forest – Subtropical/tropical dry," 4,086 "
14.1 Arable Land, 682 
14.3 Plantations, 100 
2.1. Savanna - Dry," 1,020 "
5. Wetlands (inland), 35 
Gral Francisco Mujica," 3,494 "
1.5. Forest – Subtropical/tropical dry," 3,016 "
14.1 Arable Land, 210 
2.1. Savanna - Dry, 269 
Manuel Crescencio," 6,174 "
1.5. Forest – Subtropical/tropical dry," 3,777 "
1.6. Forest – Subtropical/tropical moist lowland, 6 
1.8. Forest – Subtropical/tropical swamp, 36 
14.1 Arable Land, 508 
14.3 Plantations, 65 
2.1. Savanna - Dry," 1,753 "
3.6. Shrubland – Subtropical/tropical moist, 6 
5. Wetlands (inland), 24 
Pustunich," 24,475 "
1.5. Forest – Subtropical/tropical dry," 24,457 "
1.8. Forest – Subtropical/tropical swamp, 6 
2.1. Savanna - Dry, 12 
Xkanhá," 31,571 "
1.5. Forest – Subtropical/tropical dry," 30,516 "
14.1 Arable Land, 512 
14.3 Plantations, 12 
14.5 Urban Areas, 12 
2.1. Savanna - Dry, 519 
Yohaltun," 13,799 "
1.5. Forest – Subtropical/tropical dry," 13,715 "
2.1. Savanna - Dry, 84 
TOTAL EJIDOS," 139,200 "
