polygon_id,IUCNLevel,IUCNDefintion,class_value,pixel_count,Habitat Area (Ha),percentage,total_pixels, Total Area (Ha) ,total forest (Ha),Criteria1 (Area bigger than 5%),,,35.00%
Chun Ek,1.5. Forest Subtropical/tropical dry,"Distributed in the subtropical/tropical regions of the Neotropics, Africa and Indo-Malesia. Typically forests that experience a dry season of several months. Includes forest types described as deciduous, makatea, atoll/beach, palm, thorn and spiny; Florida rockland hammocks, pune rocklands, marine hammocks, shellmounds (last 4 from SE USA); bosque chaco, espinal, bosque de algarrobo/prosopis (Argentina, Paraguay, Uruguay); forest in the seasonally dry inter- Andean valleys.",105,2499,"15,619",89.67%,2787,"17,419","137,163",1,,,
Chun Ek,2.1. Savanna - Dry,"Needs to be defined. Includes savanna types described as Eucalyptus and Acacia woodland, mopane/miombo/Brachystegia woodlands (Africa), cerrado/campos/caatinga (Brazil, Guiana), chaco seco (Argentina/Uruguay) and mulga (Australia), oak woodlands (mid- western USA)",201,240,"1,500",8.61%,2787,"17,419",,FALSE,,,
Chun Ek,5. Wetlands (inland),Not defined,500,40,250,1.44%,2787,"17,419",,,,,
Chun Ek,14.1 Arable Land,"Includes cereal fields, rice paddies, perennial crops, orchards and groves (but see 14.3 and 14.4).",1401,8,50,0.29%,2787,"17,419",,,,,
Cancabchen,1.5. Forest Subtropical/tropical dry,"Distributed in the subtropical/tropical regions of the Neotropics, Africa and Indo-Malesia. Typically forests that experience a dry season of several months. Includes forest types described as deciduous, makatea, atoll/beach, palm, thorn and spiny; Florida rockland hammocks, pune rocklands, marine hammocks, shellmounds (last 4 from SE USA); bosque chaco, espinal, bosque de algarrobo/prosopis (Argentina, Paraguay, Uruguay); forest in the seasonally dry inter- Andean valleys.",105,3393,"21,206",79.00%,4295,"26,844",,1,,,
Cancabchen,14.1 Arable Land,"Includes cereal fields, rice paddies, perennial crops, orchards and groves (but see 14.3 and 14.4).",1401,216,"1,350",5.03%,4295,"26,844",,,,,
Cancabchen,2.1. Savanna - Dry,"Needs to be defined. Includes savanna types described as Eucalyptus and Acacia woodland, mopane/miombo/Brachystegia woodlands (Africa), cerrado/campos/caatinga (Brazil, Guiana), chaco seco (Argentina/Uruguay) and mulga (Australia), oak woodlands (mid- western USA)",201,684,"4,275",15.93%,4295,"26,844",,FALSE,,,
Cancabchen,14.3 Plantations,"A plantation is an intentional planting of a crop, on a larger scale, usually for uses other than cereal production or pasture. The term is currently most often used for plantings of trees and shrubs. The term tends also to be used for plantings maintained on economic bases other than that of subsistence farming. Plantations are typically (but not exclusively) found in tropical or semitropical countries and usually require resident labourers.",1403,2,13,0.05%,4295,"26,844",,,,,
Gral Francisco,1.5. Forest Subtropical/tropical dry,"Distributed in the subtropical/tropical regions of the Neotropics, Africa and Indo-Malesia. Typically forests that experience a dry season of several months. Includes forest types described as deciduous, makatea, atoll/beach, palm, thorn and spiny; Florida rockland hammocks, pune rocklands, marine hammocks, shellmounds (last 4 from SE USA); bosque chaco, espinal, bosque de algarrobo/prosopis (Argentina, Paraguay, Uruguay); forest in the seasonally dry inter- Andean valleys.",105,561,"3,506",85.26%,658,"4,113",,1,,,
Gral Francisco,14.1 Arable Land,"Includes cereal fields, rice paddies, perennial crops, orchards and groves (but see 14.3 and 14.4).",1401,47,294,7.14%,658,"4,113",,,,,
Gral Francisco,2.1. Savanna - Dry,"Needs to be defined. Includes savanna types described as Eucalyptus and Acacia woodland, mopane/miombo/Brachystegia woodlands (Africa), cerrado/campos/caatinga (Brazil, Guiana), chaco seco (Argentina/Uruguay) and mulga (Australia), oak woodlands (mid- western USA)",201,50,313,7.60%,658,"4,113",,FALSE,,,
Manuel Crescencio Rejon,1.5. Forest Subtropical/tropical dry,"Distributed in the subtropical/tropical regions of the Neotropics, Africa and Indo-Malesia. Typically forests that experience a dry season of several months. Includes forest types described as deciduous, makatea, atoll/beach, palm, thorn and spiny; Florida rockland hammocks, pune rocklands, marine hammocks, shellmounds (last 4 from SE USA); bosque chaco, espinal, bosque de algarrobo/prosopis (Argentina, Paraguay, Uruguay); forest in the seasonally dry inter- Andean valleys.",105,705,"4,406",61.36%,1149,"7,181",,1,,,
Manuel Crescencio Rejon,14.1 Arable Land,"Includes cereal fields, rice paddies, perennial crops, orchards and groves (but see 14.3 and 14.4).",1401,95,594,8.27%,1149,"7,181",,,,,
Manuel Crescencio Rejon,2.1. Savanna - Dry,"Needs to be defined. Includes savanna types described as Eucalyptus and Acacia woodland, mopane/miombo/Brachystegia woodlands (Africa), cerrado/campos/caatinga (Brazil, Guiana), chaco seco (Argentina/Uruguay) and mulga (Australia), oak woodlands (mid- western USA)",201,319,"1,994",27.76%,1149,"7,181",,FALSE,,,
Manuel Crescencio Rejon,14.3 Plantations,"A plantation is an intentional planting of a crop, on a larger scale, usually for uses other than cereal production or pasture. The term is currently most often used for plantings of trees and shrubs. The term tends also to be used for plantings maintained on economic bases other than that of subsistence farming. Plantations are typically (but not exclusively) found in tropical or semitropical countries and usually require resident labourers.",1403,11,69,0.96%,1149,"7,181",,,,,
Manuel Crescencio Rejon,1.8. Forest Subtropical/tropical swamp,"Distributed in the subtropics and tropics. Typically flooded for at least part of the year and dependent on this flooding for its existence. Includes forest types described as peat swamp, bog, and varzea/igapo.",108,9,56,0.78%,1149,"7,181",,,,,
Manuel Crescencio Rejon,5. Wetlands (inland),Not defined,500,4,25,0.35%,1149,"7,181",,,,,
